# columns = TERM LEMMA POS PROB
# identifier = dumas1844d-06
# creator = Dumas, Alexandre
# created = 1844
# isPartOf = Fernande
# title = VI

↵↵↵	↵↵↵	PUNCTstruct
VI	VI	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
Rochefoucauld	Rochefoucauld	PROPN
a	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
dans	dans	ADP
ses	son	DET
désespérantes	désespérant	ADJ
Maximes	Maximes	PROPN
que	que	SCONJ
il y a	il y a	VERB
toujours	toujours	ADV
dans	dans	ADP
le	le	DET
malheur	malheur	NOUN
de	de	DET
un	un	PRON
ami	ami	ADJ
quelque chose	quelque chose	PRON
qui	qui	PRON
nous	nous	PRON
faisait	faire	AUX
plaisir	plaisir	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
Rochefoucauld	Rochefoucauld	PROPN
a	avoir	AUX
pris	prendre	VERB
la	le	DET
chose	chose	NOUN
au point de vue	au point de vue	ADV
le	le	DET
plus	plus	ADV
philantropique	philantropique	ADJ
;	;	PUNCTclause
il	il	PRON
aurait	avoir	VERB
dû	devoir	VERB
dire	dire	VERB
que	que	SCONJ
il	il	PRON
ne	ne	ADV
y	y	PRON
avait	avoir	VERB
pas	pas	ADV
de	de	DET
malheur	malheur	NOUN
que	que	SCONJ
on	on	PRON
ne	ne	ADV
cherchât	chercher	VERB
à	à	ADP
exploiter	exploiter	VERB
,	,	PUNCTclause
pas	pas	ADV
de	de	DET
catastrophe	catastrophe	NOUN
dont	dont	PRON
on	on	PRON
ne	ne	ADV
parvînt	parvenir	VERB
à	à	ADP
tirer	tirer	VERB
parti	partir	VERB
,	,	PUNCTclause
pas	pas	ADV
de	de	DET
événement	événement	NOUN
calamiteux	calamiteux	ADJ
qui	qui	PRON
ne	ne	ADV
eût	avoir	VERB
ses	son	DET
joueurs	joueur	NOUN
à	à	ADP
la	le	DET
hausse	hausse	NOUN
et	et	CCONJ
à	à	ADP
la	le	DET
baisse	baisse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ainsi	ainsi	ADV
,	,	PUNCTclause
Fabien	Fabien	PROPN
de	de	DET
Rieulle	Rieulle	PROPN
et	et	CCONJ
Léon	Léon	PROPN
de	de	DET
Vaux	Vaux	PROPN
avaient	avoir	AUX
spéculé	spéculer	VERB
tous les deux	tous les deux	PRON
sur	sur	ADP
la	le	DET
maladie	maladie	NOUN
de	de	DET
leur	leur	DET
ami	ami	NOUN
Maurice	Maurice	PROPN
pour	pour	ADP
le	le:PRON	PRON
remplacer	remplacer	VERB
:	:	PUNCTclause
le	le	DET
premier	premier	ADJ
auprès de	auprès de	ADP
sa	son	DET
femme	femme	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
second	second	NOUN
auprès de	auprès de	ADP
sa	son	DET
maîtresse	maître	NOUN
.	.	PUNCTsent
Fernande	Fernande	PROPN
,	,	PUNCTclause
en effet	en effet	ADV
,	,	PUNCTclause
avait	avoir	AUX
passé	passé	ADP
un	un	DET
moment	moment	NOUN
pour	pour	ADP
être	être	AUX
au	au	ADP_DET
jeune	jeune	ADJ
baron	baron	NOUN
de	de	DET
Barthèle	Barthèle	PROPN
;	;	PUNCTclause
elle	elle	PRON
avait	avoir	AUX
paru	paraître	VERB
céder	céder	VERB
à	à	ADP
ses	son	DET
attentions	attention	NOUN
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
comme	comme	ADP
il	il	PRON
ne	ne	ADV
avait	avoir	AUX
transpiré	transpirer	VERB
aucun	aucun	DET
bruit	bruit	NOUN
de	de	DET
leur	leur	DET
rupture	rupture	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
ils	ils	PRON
avaient	avoir	AUX
mis	mettre	VERB
de	de	DET
grandes	grand	ADJ
précautions	précaution	NOUN
à	à	ADP
cacher	cacher	VERB
leur	leur	DET
intimité	intimité	NOUN
,	,	PUNCTclause
on	on	PRON
les	le:PRON	PRON
supposait	supposer	VERB
unis	unir	VERB
par	par	ADP
un	un	DET
amour	amour	NOUN
bien	bien	ADV
romanesque	romanesque	ADJ
et	et	CCONJ
bien	bien	ADV
langoureux	langoureux	ADJ
,	,	PUNCTclause
jusque	jusque	ADP
au moment où	au moment où	ADP
la	le	DET
vérité	vérité	NOUN
se	se	PRON
fit	faire	AUX
jour	jour	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
jusque	jusque	ADP
à	à	ADP
la	le	DET
veille	veille	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Maintenant	maintenant	ADV
que	que	SCONJ
Léon	Léon	PROPN
de	de	DET
Vaux	Vaux	PROPN
ne	ne	ADV
pouvait	pouvoir	VERB
plus	plus	ADV
douter	douter	VERB
que	que	SCONJ
il	il	PRON
ne	ne	ADV
y	y	PRON
eût	avoir	VERB
entre	entre	ADP
Maurice	Maurice	PROPN
et	et	CCONJ
Fernande	Fernande	PROPN
une	un	PRON
rupture	rupture	NOUN
bien	bien	ADV
décidée	décidé	ADJ
,	,	PUNCTclause
une	un	DET
chose	chose	NOUN
le	le	ADP
tourmentait	tourmenter	NOUN
singulièrement	singulièrement	ADJ
:	:	PUNCTclause
qui	qui	PRON
donc	donc	ADV
avait	avoir	AUX
succédé	succéder	VERB
à	à	ADP
Maurice	Maurice	PROPN
?	?	PUNCTsent
ce	ce	PRON
était	être	AUX
une	un	DET
grave	grave	ADJ
question	question	NOUN
pour	pour	ADP
le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
;	;	PUNCTclause
car	car	CCONJ
il	il	PRON
attachait	attacher	VERB
une	un	DET
singulière	singulier	NOUN
importance	importance	NOUN
à	à	ADP
connaître	connaître	VERB
la	le	DET
conduite	conduite	NOUN
de	de	DET
la	le	AUX
femme	femme	NOUN
capricieuse	capricieux	ADJ
qui	qui	PRON
tolérait	tolérer	VERB
toujours	toujours	ADV
ses	son	DET
soins	soin	NOUN
sans	sans	ADP
jamais	jamais	ADV
les	le	DET
récompenser	récompenser	NOUN
.	.	PUNCTsent
en effet	en effet	ADV
,	,	PUNCTclause
depuis	depuis	ADP
près de	près de	ADP
un	un	DET
an	an	NOUN
,	,	PUNCTclause
Léon	Léon	PROPN
de	de	DET
Vaux	Vaux	PROPN
,	,	PUNCTclause
quoique	quoique	PRON
de	de	DET
fortune	fortune	NOUN
,	,	PUNCTclause
de	de	DET
manières	manière	NOUN
et	et	CCONJ
de	de	DET
visage	visage	NOUN
à	à	ADP
ne	ne	ADV
point	point	ADV
être	être	AUX
repoussé	repousser	VERB
,	,	PUNCTclause
surtout	surtout	ADV
par	par	ADP
une	un	DET
femme	femme	NOUN
que	que	SCONJ
on	on	PRON
taxait	taxer	VERB
de	de	DET
une	un	PRON
grande	grand	ADJ
légèreté	légèreté	NOUN
,	,	PUNCTclause
attendait	attendre	VERB
vainement	vainement	ADV
que	que	SCONJ
le	le	DET
vent	vent	NOUN
du	du	ADP_DET
caprice	caprice	NOUN
soufflât	souffler	VERB
de	de	DET
son	son	NOUN
côté	côté	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Au	au	ADP_DET
reste	reste	NOUN
,	,	PUNCTclause
Léon	Léon	PROPN
de	de	DET
Vaux	Vaux	PROPN
prenait	prendre	VERB
son	son	DET
surnumérariat	surnumérariat	NOUN
en	en	ADP
patience	patience	NOUN
;	;	PUNCTclause
plus	plus	ADV
jeune	jeune	ADJ
que	que	SCONJ
Fabien	Fabien	PROPN
de	de	DET
six	six	NUM
ou	ou	CCONJ
huit	huit	NUM
ans	an	NOUN
au moins	au moins	ADV
,	,	PUNCTclause
il	il	PRON
recevait	recevoir	VERB
de	de	DET
ses	son	NOUN
relations	relation	NOUN
platoniques	platonique	ADJ
avec	avec	ADP
la	le	DET
courtisane	courtisan	NOUN
la	le	DET
plus	plus	ADV
célèbre	célèbre	ADJ
de	de	DET
Paris	Paris	PROPN
,	,	PUNCTclause
—	—	PUNCTclause
car	car	NOUN
,	,	PUNCTclause
tranchons	trancher	VERB
le	le	DET
mot	mot	NOUN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
le	le	DET
titre	titre	NOUN
que	que	SCONJ
l'on	on	PRON
donnait	donner	VERB
généralement	généralement	ADV
à	à	ADP
Fernande	Fernande	PROPN
,	,	PUNCTclause
—	—	PUNCTclause
un	un	DET
reflet	reflet	NOUN
de	de	DET
l'	le	NOUN
éclat	éclat	NOUN
et	et	CCONJ
de	de	DET
la	le	AUX
renommée	renommer	VERB
que	que	SCONJ
elle	elle	PRON
avait	avoir	AUX
elle-même	elle-même	PRON
;	;	PUNCTclause
il	il	PRON
y	y	PRON
trouvait	trouver	VERB
,	,	PUNCTclause
en outre	en outre	ADV
,	,	PUNCTclause
l'	le	DET
avantage	avantage	NOUN
de	de	DET
commencer	commencer	SCONJ
sa	son	DET
carrière	carrier	NOUN
de	de	DET
homme	homme	NOUN
à	à	ADP
bonnes	bon	ADJ
fortunes	fortune	NOUN
de manière à	de manière à	ADP
apprendre	apprendre	VERB
du	du	ADP_DET
premier	premier	ADJ
coup	coup	NOUN
le	le	DET
fond	fond	NOUN
du	du	ADP_DET
métier	métier	NOUN
;	;	PUNCTclause
ajoutons	ajouter	NOUN
que	que	SCONJ
il	il	PRON
ne	ne	ADV
voyait	voir	VERB
nulle part	nulle part	ADV
,	,	PUNCTclause
même	même	ADV
dans	dans	ADP
le	le	DET
monde	monde	NOUN
,	,	PUNCTclause
aucune	aucun	DET
femme	femme	NOUN
qui	qui	PRON
parlât	parler	VERB
plus	plus	ADV
fortement	fortement	ADV
à	à	ADP
son	son	DET
cœur	cœur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Une	un	DET
voiture	voiture	NOUN
selon	selon	ADP
la	le	DET
saison	saison	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
une	un	DET
calèche	calèche	NOUN
l'	le	DET
été	été	NOUN
,	,	PUNCTclause
un	un	DET
coupé	coupé	NOUN
l'	le	DET
hiver	hiver	NOUN
,	,	PUNCTclause
le	le	DET
tout	tout	ADJ
de	de	DET
la	la	PROPN
forme	forme	VERB
la	le	DET
plus	plus	ADV
élégante	élégant	ADJ
,	,	PUNCTclause
et	et	CCONJ
presque	presque	ADV
toujours	toujours	ADV
de	de	DET
un	un	NUM
brun	brun	NOUN
foncé	foncé	ADJ
;	;	PUNCTclause
des	un	DET
domestiques	domestique	NOUN
habillés	habiller	VERB
à	à	ADP
l'	le	DET
anglaise	anglais	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
tout	tout	ADJ
en	en	ADP
noir	noir	NOUN
;	;	PUNCTclause
un	un	DET
attelage	attelage	NOUN
de	de	DET
chevaux	cheval	NOUN
gris	gris	NOUN
pommelé	pommelé	ADJ
admirablement	admirablement	ADV
beaux	beau	ADJ
,	,	PUNCTclause
des	un	DET
harnais	harnais	NOUN
noir	noir	ADJ
de	de	DET
un	un	NUM
vernis	vernis	NOUN
brillant	brillant	ADJ
à peine	à peine	ADV
rehaussés	rehausser	VERB
de	de	DET
quelques	quelque	NOUN
filets	filet	NOUN
de	de	DET
argent	argent	NOUN
,	,	PUNCTclause
indiquaient	indiquer	VERB
,	,	PUNCTclause
sinon	sinon	CCONJ
la	le	DET
condition	condition	NOUN
élevée	élevé	ADJ
,	,	PUNCTclause
du	du	ADP_DET
moins	moins	ADV
l'	le	DET
excellent	excellent	ADJ
goût	goût	NOUN
de	de	DET
la	le:PRON	PRON
femme	femme	ADP
que	que	SCONJ
on	on	PRON
voyait	voir	VERB
descendre	descendre	VERB
,	,	PUNCTclause
le	le	DET
soir	soir	NOUN
,	,	PUNCTclause
sous	sous	ADP
le	le	DET
péristyle	péristyle	NOUN
de	de	DET
l'	le	NOUN
Opéra	Opéra	PROPN
ou	ou	CCONJ
des	un	DET
Italiens	italien	NOUN
,	,	PUNCTclause
et	et	CCONJ
quelquefois	quelquefois	ADV
,	,	PUNCTclause
le	le	DET
matin	matin	NOUN
,	,	PUNCTclause
à	à	ADP
la	le	DET
petite	petit	ADJ
porte	porte	NOUN
de	de	DET
l'	le	NOUN
église	église	NOUN
Saint-Roch	Saint-Roch	PROPN
.	.	PUNCTsent
Les	le	DET
badauds	badaud	NOUN
,	,	PUNCTclause
qui	qui	PRON
jugent	juger	VERB
