# columns = TERM LEMMA POS PROB
# identifier = zola1871-05
# creator = Zola, Émile
# created = 1871
# isPartOf = La fortune des Rougon
# title = V

↵↵↵	↵↵↵	PUNCTstruct
V.	V.	PROPN
↵↵	↵↵	PUNCTstruct
Au	au	ADP_DET
loin	loin	ADV
se	se	PRON
étendaient	étendre	VERB
les	le	DET
routes	route	NOUN
toutes	tout	ADJ
blanches	blanc	ADJ
de	de	DET
lune	lune	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
bande	bande	NOUN
insurrectionnelle	insurrectionnel	ADJ
,	,	PUNCTclause
dans	dans	ADP
la	le	DET
campagne	campagne	NOUN
froide	froid	ADJ
et	et	CCONJ
claire	clair	ADJ
,	,	PUNCTclause
reprit	reprendre	VERB
sa	son	DET
marche	marche	NOUN
héroïque	héroïque	ADJ
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
comme	comme	ADP
un	un	DET
large	large	ADJ
courant	courant	ADP
de	de	DET
enthousiasme	enthousiasme	NOUN
.	.	PUNCTsent
Le	le	DET
souffle	souffle	NOUN
de	de	DET
épopée	épopée	NOUN
qui	qui	PRON
emportait	emporter	VERB
Miette	Miette	PROPN
et	et	CCONJ
Silvère	Silvère	PROPN
,	,	PUNCTclause
ces	ce	DET
grands	grand	ADJ
enfants	enfant	NOUN
avides	avide	ADJ
de	de	DET
amour	amour	NOUN
et	et	CCONJ
de	de	DET
liberté	liberté	NOUN
,	,	PUNCTclause
traversait	traverser	VERB
avec	avec	ADP
une	un	DET
générosité	générosité	NOUN
sainte	saint	ADJ
les	le	DET
honteuses	honteux	NOUN
comédies	comédie	VERB
des	un	DET
Macquart	Macquart	PROPN
et	et	CCONJ
des	un	ADP_DET
Rougon	Rougon	PROPN
.	.	PUNCTsent
La	le	DET
voix	voix	NOUN
haute	haut	ADJ
du	du	ADP_DET
peuple	peuple	NOUN
,	,	PUNCTclause
par	par	ADP
intervalles	intervalle	NOUN
,	,	PUNCTclause
grondait	gronder	VERB
,	,	PUNCTclause
entre	entre	ADP
les	le	DET
bavardages	bavardage	NOUN
du	du	ADP_DET
salon	salon	NOUN
jaune	jaune	ADJ
et	et	CCONJ
les	le	DET
diatribes	diatribe	NOUN
de	de	DET
l'	le	DET
oncle	oncle	NOUN
Antoine	Antoine	PROPN
.	.	PUNCTsent
Et	et	CCONJ
la	le	DET
farce	farce	NOUN
vulgaire	vulgaire	ADJ
,	,	PUNCTclause
la	le	DET
farce	farce	NOUN
