# columns = TERM LEMMA POS PROB
# identifier = dumas1844a-38
# creator = Dumas, Alexandre
# created = 1844
# isPartOf = Les Trois Mousquetaires
# title = XXXVIII. Comment, sans se déranger, Athos trouva son équipement

↵↵↵	↵↵↵	PUNCTstruct
XXXVIII	XXXVIII	X
.	.	PUNCTsent
Comment	comment	ADV
,	,	PUNCTclause
sans	sans	ADP
se	se	PRON
déranger	déranger	VERB
,	,	PUNCTclause
Athos	Athos	PROPN
trouva	trouver	VERB
son	son	DET
équipement	équipement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
se	se	PRON
enfuit	enfuir	VERB
tandis que	tandis que	SCONJ
elle	elle	PRON
le	le:PRON	PRON
menaçait	menacer	VERB
encore	encore	ADV
de	de	ADP
un	un	DET
geste	geste	NOUN
impuissant	impuissant	ADJ
.	.	PUNCTsent
au moment où	au moment où	ADP
elle	elle	PRON
le	le:PRON	PRON
perdit	perdre	VERB
de	de	ADP
vue	vue	NOUN
,	,	PUNCTclause
Milady	Milady	PROPN
tomba	tomber	VERB
évanouie	évanouir	VERB
dans	dans	ADP
sa	son	DET
chambre	chambre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
de	de	ADP
Artagnan	Artagnan	PROPN
était	être	AUX
tellement	tellement	ADV
bouleversé	bouleversé	ADJ
,	,	PUNCTclause
que	que	PRON
,	,	PUNCTclause
sans	sans	ADP
se	se	PRON
inquiéter	inquiéter	VERB
de	de	ADP
ce	ce	DET
que	que	SCONJ
deviendrait	devenir	VERB
Ketty	Ketty	PROPN
,	,	PUNCTclause
il	il	PRON
traversa	traverser	VERB
la	le	DET
moitié	moitié	NOUN
de	de	ADP
Paris	Paris	PROPN
tout	tout	PRON
en	en	ADP
courant	courant	NOUN
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
se	se	PRON
arrêta	arrêter	VERB
que	que	ADV
devant	devant	ADP
la	le	DET
porte	porte	NOUN
de	de	ADP
Athos	Athos	PROPN
.	.	PUNCTsent
l'	le	DET
égarement	égarement	NOUN
de	de	ADP
son	son	DET
esprit	esprit	NOUN
,	,	PUNCTclause
la	le	DET
terreur	terreur	NOUN
qui	qui	PRON
l'	le:PRON	PRON
