# columns = TERM LEMMA POS PROB
# identifier = dumas1846d-57
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = La Dame de Monsoreau
# title = XXXII. Diplomatie de M. de Saint-Luc.

↵↵↵	↵↵↵	PUNCTstruct
XXXII	XXXII	X
.	.	PUNCTsent
Diplomatie	diplomatie	NOUN
de	de	ADP
M.	M.	PROPN
de	de	ADP
Saint-Luc	Saint-Luc	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Bussy	Bussy	PROPN
retourna	retourner	VERB
chez	chez	ADP
lui	lui	PRON
à	à	ADP
pied	pied	NOUN
,	,	PUNCTclause
au milieu de	au milieu de	ADP
une	un	DET
nuit	nuit	NOUN
épaisse	épais	ADJ
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
au lieu de	au lieu de	ADP
Saint-Luc	Saint-Luc	PROPN
que	que	SCONJ
il	il	PRON
se	se	PRON
attendait	attendre	VERB
à	à	ADP
y	y	PRON
rencontrer	rencontrer	VERB
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
trouva	trouver	VERB
que	que	ADV
une	un	DET
lettre	lettre	NOUN
qui	qui	PRON
lui	lui	PRON
annonçait	annoncer	VERB
l'	le	DET
arrivée	arrivée	NOUN
de	de	ADP
son	son	DET
ami	ami	NOUN
pour	pour	ADP
le	le	DET
lendemain	lendemain	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
en effet	en effet	ADV
,	,	PUNCTclause
vers	vers	ADP
six	six	NUM
heures	heure	NOUN
du	du	ADP_DET
matin	matin	NOUN
,	,	PUNCTclause
Saint-Luc	Saint-Luc	PROPN
,	,	PUNCTclause
suivi	suivre	VERB
de	de	ADP
un	un	DET
piqueur	piqueur	NOUN
,	,	PUNCTclause
avait	avoir	AUX
quitté	quitter	VERB
Méridor	Méridor	PROPN
et	et	CCONJ
avait	avoir	AUX
dirigé	diriger	VERB
sa	son	DET
course	course	NOUN
vers	vers	ADP
Angers	Angers	PROPN
.	.	PUNCTsent
Il	il	PRON
était	être	AUX
arrivé	arriver	VERB
au	au	ADP_DET
pied	pied	NOUN
des	un	ADP_DET
remparts	rempart	NOUN
à	à	ADP
l'	le	DET
ouverture	ouverture	NOUN
des	un	ADP_DET
portes	porte	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
sans	sans	ADP
remarquer	remarquer	VERB
l'	le	DET
agitation	agitation	NOUN
singulière	singulier	ADJ
du	du	ADP_DET
peuple	peuple	NOUN
à	à	ADP
son	son	DET
lever	lever	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
gagné	gagner	VERB
la	le	DET
maison	maison	NOUN
de	de	ADP
Bussy	Bussy	PROPN
.	.	PUNCTsent
Les	le	DET
deux	deux	NUM
amis	ami	NOUN
se	se	PRON
embrassèrent	embrasser	VERB
cordialement	cordialement	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Daignez	daigner	VERB
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
Saint-Luc	Saint-Luc	PROPN
,	,	PUNCTclause
dit	dire	VERB
Bussy	Bussy	PROPN
,	,	PUNCTclause
accepter	accepter	VERB
l'	le	DET
hospitalité	hospitalité	NOUN
de	de	ADP
ma	mon	DET
pauvre	pauvre	NOUN
chaumière	chaumière	NOUN
.	.	PUNCTsent
Je	je	PRON
campe	camper	VERB
à	à	ADP
Angers	Angers	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
dit	dire	VERB
Saint-Luc	Saint-Luc	PROPN
,	,	PUNCTclause
à	à	ADP
la	le	DET
manière	manière	NOUN
des	un	ADP_DET
vainqueurs	vainqueur	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
sur	sur	ADP
le	le	DET
champ de bataille	champ de bataille	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	SCONJ
voulez	vouloir	VERB
vous	vous	PRON
dire	dire	VERB
,	,	PUNCTclause
cher	cher	ADV
ami	ami	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	PRON
ma	mon	DET
femme	femme	NOUN
ne	ne	ADV
a	avoir	AUX
pas	pas	ADV
plus	plus	ADV
de	de	ADP
secrets	secret	NOUN
pour	pour	ADP
moi	moi	PRON
que	que	SCONJ
je	je	PRON
ne	ne	ADV
en	en	PRON
ai	avoir	VERB
pour	pour	ADP
elle	elle	PRON
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
Bussy	Bussy	PROPN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
me	me	PRON
a	avoir	AUX
tout	tout	ADV
raconté	raconter	VERB
.	.	PUNCTsent
il y a	il y a	VERB
communauté	communauté	NOUN
entre	entre	ADP
nous	nous	PRON
:	:	PUNCTclause
recevez	recevoir	VERB
tous	tout	ADJ
mes	mon	DET
compliments	compliment	NOUN
,	,	PUNCTclause
mon	mon	DET
maître	maître	NOUN
en	en	ADP
toutes	tout	ADJ
choses	chose	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
puisque	puisque	SCONJ
vous	vous	PRON
me	me	PRON
avez	avoir	AUX
mandé	mander	VERB
,	,	PUNCTclause
permettez	permettre	VERB
moi	moi	PRON
de	de	ADP
vous	vous	PRON
donner	donner	VERB
un	un	DET
conseil	conseil	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Donnez	donner	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Débarrassez	débarrasser	VERB
vous	vous	PRON
vite	vite	ADV
de	de	ADP
cet	ce	DET
abominable	abominable	ADJ
Monsoreau	Monsoreau	PROPN
:	:	PUNCTclause
personne	personne:PRON	PRON
ne	ne	ADV
connaît	connaître	VERB
à	à	ADP
la	le	DET
cour	cour	NOUN
votre	votre	DET
liaison	liaison	NOUN
avec	avec	ADP
sa	son	DET
femme	femme	NOUN
