# columns = TERM LEMMA POS PROB
# identifier = dumas1855a-138
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = La comtesse de Charny
# title = CXXXVIII. Un conciliabule à Charenton

↵↵↵	↵↵↵	PUNCTstruct
Cxxxviii	Cxxxviii	PROPN
.	.	PUNCTsent
Un	un	DET
conciliabule	conciliabule	NOUN
à	à	ADP
Charenton	Charenton	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Un	un	DET
homme	homme	NOUN
se	se	PRON
était	être	AUX
promené	promener	VERB
toute	tout	ADJ
la	le	DET
journée	journée	NOUN
dans	dans	ADP
le	le	DET
faubourg	faubourg	NOUN
Saint-Antoine	Saint-Antoine	PROPN
,	,	PUNCTclause
en	en	ADP
habit	habit	NOUN
de	de	DET
général	général	NOUN
,	,	PUNCTclause
monté	monter	VERB
sur	sur	ADP
un	un	DET
gros	gros	ADJ
cheval	cheval	NOUN
flamand	flamand	ADJ
,	,	PUNCTclause
donnant	donner	VERB
des	un	DET
poignées de main	poignées de main	NOUN
à	à	ADP
droite	droite	NOUN
et	et	CCONJ
à	à	ADP
gauche	gauche	NOUN
,	,	PUNCTclause
embrassant	embrasser	VERB
les	le	DET
belles	beau	ADJ
filles	fille	NOUN
,	,	PUNCTclause
payant	payer	VERB
à	à	ADP
boire	boire	VERB
aux	au	ADP_DET
garçons	garçon	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
était	être	AUX
un	un	DET
des	un	NOUN
six	six	NUM
héritiers	héritier	NOUN
de	de	DET
M.	M.	PROPN
de	de	DET
La	La	PROPN
Fayette	Fayette	PROPN
,	,	PUNCTclause
la	le	DET
monnaie	monnayer	VERB
en	en	ADP
gros	gros	ADJ
sous	sou	NOUN
du	du	ADP_DET
commandant	commandant	NOUN
de	de	DET
la	le:PRON	PRON
garde nationale	garde nationale	NOUN
;	;	PUNCTclause
ce	ce	PRON
était	être	AUX
le	le	DET
chef	chef	NOUN
de	de	DET
bataillon	bataillon	NOUN
Santerre	Santerre	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
près de	près de	ADP
lui	lui	PRON
,	,	PUNCTclause
comme	comme	ADP
marcherait	marcher	NOUN
un	un	DET
aide de camp	aide de camp	NOUN
près de	près de	ADP
son	son	DET
général	général	NOUN
,	,	PUNCTclause
chevauchait	chevaucher	VERB
,	,	PUNCTclause
sur	sur	ADP
un	un	DET
vigoureux	vigoureux	ADJ
cheval	cheval	NOUN
,	,	PUNCTclause
un	un	DET
homme	homme	NOUN
que	que	ADV
à	à	ADP
son	son	DET
costume	costume	NOUN
on	on	PRON
pouvait	pouvoir	VERB
reconnaître	reconnaître	VERB
pour	pour	ADP
un	un	DET
patriote	patriote	NOUN
campagnard	campagnard	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Une	un	DET
cicatrice	cicatrice	NOUN
laissait	laisser	VERB
sa	son	DET
trace	trace	NOUN
sur	sur	ADP
son	son	DET
front	front	NOUN
,	,	PUNCTclause
et	et	CCONJ
autant	autant	ADV
le	le	DET
chef	chef	NOUN
de	de	DET
bataillon	bataillon	NOUN
avait	avoir	AUX
le	le	DET
sourire	sourire	NOUN
franc	franc	ADV
,	,	PUNCTclause
la	le	DET
figure	figure	NOUN
ouverte	ouvrir	VERB
,	,	PUNCTclause
autant	autant	ADV
lui	lui	PRON
avait	avoir	AUX
l'	le	DET
œil	œil	NOUN
sombre	sombre	ADJ
et	et	CCONJ
la	le	DET
physionomie	physionomie	NOUN
menaçante	menaçant	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tenez	tenir	VERB
vous	vous	PRON
prêts	prêt	VERB
,	,	PUNCTclause
mes	mon	DET
bons	bon	ADJ
amis	ami	NOUN
!	!	PUNCTsent
Veillez	veiller	VERB
sur	sur	ADP
la	le	DET
nation	nation	NOUN
!	!	PUNCTsent
Les	le	DET
traîtres	traître	NOUN
conspirent	conspirer	VERB
contre	contre	ADP
elle	elle	PRON
:	:	PUNCTclause
mais	mais	CCONJ
nous	nous	PRON
sommes	être	VERB
là	là	ADV
,	,	PUNCTclause
disait	dire	VERB
Santerre	Santerre	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	SCONJ
faut	falloir	VERB
il	il	PRON
faire	faire	AUX
,	,	PUNCTclause
monsieur	monsieur	NOUN
Santerre	Santerre	PROPN
?	?	PUNCTsent
demandaient	demander	VERB
les	le	DET
faubouriens	faubourien	NOUN
.	.	PUNCTsent
Vous	vous	PRON
savez	savoir	VERB
que	que	SCONJ
nous	nous	PRON
sommes	être	VERB
à	à	ADP
vous	vous	PRON
!	!	PUNCTsent
Où	où	ADV
sont	être	AUX
les	le	DET
traîtres	traître	NOUN
?	?	PUNCTsent
Conduisez	conduire	VERB
nous	nous	PRON
contre	contre	ADP
eux	eux	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Attendez	attendre	NOUN
!	!	PUNCTsent
disait	dire	VERB
Santerre	Santerre	PROPN
;	;	PUNCTclause
quand	quand	SCONJ
le	le	DET
moment	moment	NOUN
sera	être	AUX
venu	venir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
le	le	DET
moment	moment	NOUN
vient	venir	VERB
il	il	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Santerre	Santerre	PROPN
ne	ne	ADV
en	en	PRON
savait	savoir	VERB
rien	rien	PRON
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
à	à	ADP
tout	tout	ADJ
hasard	hasard	NOUN
,	,	PUNCTclause
il	il	PRON
répondait	répondre	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
oui	oui	INTJ
,	,	PUNCTclause
soyez	être	AUX
tranquilles	tranquille	ADJ
:	:	PUNCTclause
on	on	PRON
vous	vous	PRON
préviendra	prévenir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
