# columns = TERM LEMMA POS PROB
# identifier = dumas1850a-185
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = Le Vicomte de Bragelonne
# title = CLXXXV. La Fontaine négociateur

↵↵↵	↵↵↵	PUNCTstruct
Clxxxv	Clxxxv	PROPN
.	.	PUNCTsent
La	le	DET
Fontaine	Fontaine	PROPN
négociateur	négociateur	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Fouquet	Fouquet	PROPN
serra	serrer	VERB
la	le	DET
main	main	NOUN
de	de	DET
La	La	PROPN
Fontaine	Fontaine	PROPN
avec	avec	ADP
une	un	DET
charmante	charmant	ADJ
effusion	effusion	NOUN
…	…	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mon	mon	NOUN
cher	cher	ADJ
poète	poète	NOUN
,	,	PUNCTclause
lui	lui	PRON
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
faites	faire	AUX
nous	nous	PRON
cent	cent	NUM
autres	autre	ADJ
contes	conter	VERB
,	,	PUNCTclause
non seulement	non seulement	ADV
pour	pour	ADP
les	le	DET
quatre-vingts	quatre-vingt	NOUN
pistoles	pistole	X
que	que	SCONJ
chacun	chacun	PRON
de	de	DET
eux	eux	PRON
rapportera	rapporter	VERB
,	,	PUNCTclause
mais	mais	CCONJ
encore	encore	ADV
pour	pour	ADP
enrichir	enrichir	VERB
notre	notre	DET
langue	langue	NOUN
de	de	DET
cent	cent	NUM
chefs-d'œuvre	chef-d'œuvre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	NOUN
!	!	PUNCTsent
ho	ho	NOUN
!	!	PUNCTsent
dit	dire	VERB
La	le	DET
Fontaine	Fontaine	PROPN
en	en	ADP
se	se	PRON
rengorgeant	rengorger	VERB
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
faut	falloir	VERB
pas	pas	ADV
croire	croire	VERB
que	que	SCONJ
je	je	PRON
aie	avoir	VERB
seulement	seulement	ADV
apporté	apporter	VERB
cette	ce	DET
idée	idée	NOUN
et	et	CCONJ
ces	ce	DET
quatre-vingts	quatre-vingt	NOUN
pistoles	pistole	X
à	à	ADP
M.	M.	PROPN
le	le	DET
surintendant	surintendant	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	NOUN
!	!	PUNCTsent
mais	mais	CCONJ
,	,	PUNCTclause
se	se	PRON
écria	écrier	VERB
on	on	PRON
de toutes parts	de toutes parts	ADV
,	,	PUNCTclause
M.	M.	PROPN
de	de	DET
La	La	PROPN
Fontaine	Fontaine	PROPN
est	être	AUX
en	en	ADP
fonds	fond	NOUN
aujourd'hui	aujourd'hui	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Bénie	béni	NOUN
soit	soit	CCONJ
l'	le	DET
idée	idée	NOUN
,	,	PUNCTclause
si	si	SCONJ
elle	elle	PRON
me	me	PRON
apporte	apporter	VERB
un	un	DET
ou	ou	CCONJ
deux	deux	NUM
millions	million	NOUN
,	,	PUNCTclause
dit	dire	VERB
gaiement	gaiement	ADV
Fouquet	Fouquet	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Précisément	précisément	ADV
,	,	PUNCTclause
répliqua	répliquer	VERB
La	le	DET
Fontaine	Fontaine	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vite	vite	ADJ
,	,	PUNCTclause
vite	vite	ADJ
!	!	PUNCTsent
cria	crier	VERB
l'	le	DET
assemblée	assemblée	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Prenez	prendre	NOUN
garde	garde	NOUN
,	,	PUNCTclause
dit	dire	VERB
Pélisson	Pélisson	PROPN
à	à	ADP
l'	le	DET
oreille	oreille	NOUN
de	de	DET
La	La	PROPN
Fontaine	Fontaine	PROPN
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	AUX
eu	avoir	VERB
grand	grand	ADJ
succès	succès	NOUN
jusque	jusque	ADP
à présent	à présent	ADV
,	,	PUNCTclause
ne	ne	ADV
allez	aller	VERB
pas	pas	ADV
lancer	lancer	VERB
la	le	DET
flèche	flèche	NOUN
au-delà	au-delà	ADV
du	du	ADP_DET
but	but	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Nenni	nenni	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
Pélisson	Pélisson	PROPN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
vous	vous	PRON
qui	qui	PRON
êtes	être	AUX
un	un	DET
homme	homme	NOUN
de	de	DET
goût	goût	NOUN
,	,	PUNCTclause
vous	vous	PRON
me	me	PRON
approuverez	approuver	VERB
tout	tout	ADJ
le	le	DET
premier	premier	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Il	il	PRON
se	se	PRON
agit	agir	VERB
de	de	DET
millions	million	NOUN
?	?	PUNCTsent
dit	dire	VERB
Gourville	Gourville	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
ai	avoir	VERB
là	là	ADV
quinze	quinze	NUM
cent	cent	NUM
mille	mille	NUM
livres	livre	NOUN
,	,	PUNCTclause
monsieur	monsieur	NOUN
Gourville	Gourville	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
il	il	PRON
frappa	frapper	VERB
sa	son	DET
poitrine	poitrine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Au	au	ADP_DET
diable	diable	NOUN
,	,	PUNCTclause
le	le	DET
Gascon	Gascon	PROPN
de	de	DET
Château-Thierry	Château-Thierry	PROPN
!	!	PUNCTsent
cria	crier	VERB
Loret	Loret	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
la	le	DET
poche	poche	NOUN
que	que	SCONJ
il	il	PRON
fallait	falloir	VERB
toucher	toucher	VERB
,	,	PUNCTclause
dit	dire	VERB
Fouquet	Fouquet	PROPN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
la	le	DET
cervelle	cervelle	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tenez	tenir	NOUN
,	,	PUNCTclause
ajouta	ajouter	VERB
La	le	DET
Fontaine	Fontaine	PROPN
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
surintendant	surintendant	NOUN
,	,	PUNCTclause
vous	vous	PRON
ne	ne	ADV
êtes	être	AUX
pas	pas	ADV
un	un	DET
procureur	procureur	NOUN
général	général	ADJ
,	,	PUNCTclause
vous	vous	PRON
êtes	être	AUX
un	un	DET
poète	poète	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
vrai	vrai	ADJ
!	!	PUNCTsent
se	se	PRON
écrièrent	écrier	VERB
Loret	Loret	PROPN
,	,	PUNCTclause
Conrart	Conrart	PROPN
,	,	PUNCTclause
et	et	CCONJ
tout	tout	ADJ
ce	ce	PRON
que	que	ADV
il y a	il y a	VERB
là	là	ADV
de	de	DET
gens	gens	NOUN
de	de	DET
lettres	lettre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
êtes	être	AUX
,	,	PUNCTclause
dis	dire	NOUN
je	je	PRON
,	,	PUNCTclause
un	un	DET
poète	poète	NOUN
et	et	CCONJ
un	un	DET
peintre	peintre	NOUN
,	,	PUNCTclause
un	un	DET
statuaire	statuaire	NOUN
,	,	PUNCTclause
un	un	DET
ami	ami	NOUN
des	un	ADP_DET
arts	art	NOUN
et	et	CCONJ
des	un	ADP_DET
sciences	science	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
avouez	avouer	VERB
le	le	DET
vous-même	vous-même	PRON
,	,	PUNCTclause
vous	vous	PRON
ne	ne	ADV
êtes	être	AUX
pas	pas	ADV
un	un	DET
homme	homme	NOUN
de	de	DET
robe	robe	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
l'	le:PRON	PRON
avoue	avouer	VERB
,	,	PUNCTclause
répliqua	répliquer	VERB
en	en	ADP
souriant	sourire	NOUN
M.	M.	PROPN
Fouquet	Fouquet	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
On	on	PRON
vous	vous	PRON
mettrait	mettre	VERB
de	de	DET
l'	le	NOUN
Académie	académie	NOUN
que	que	SCONJ
vous	vous	PRON
refuseriez	refuser	VERB
,	,	PUNCTclause
n'est-ce pas	n'est-ce pas	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
crois	croire	VERB
que	que	SCONJ
oui	oui	INTJ
,	,	PUNCTclause
ne	ne	ADV
en	en	PRON
déplaise	déplaire	VERB
aux	au	ADP_DET
académiciens	académicien	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	NOUN
bien	bien	ADV
!	!	PUNCTsent
pourquoi	pourquoi	ADV
,	,	PUNCTclause
ne	ne	ADV
voulant	vouloir	VERB
pas	pas	ADV
faire partie	faire partie	VERB
de	de	DET
l'	le	NOUN
Académie	académie	NOUN
,	,	PUNCTclause
vous	vous	PRON
laissez	laisser	VERB
vous	vous	PRON
aller	aller	VERB
à	à	ADP
faire partie	faire partie	VERB
du	du	ADP_DET
Parlement	parlement	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	NOUN
!	!	PUNCTsent
ho	ho	NOUN
!	!	PUNCTsent
dit	dire	VERB
Pélisson	Pélisson	PROPN
,	,	PUNCTclause
nous	nous	PRON
parlons	parler	VERB
politique	politique	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
demande	demander	VERB
,	,	PUNCTclause
poursuivit	poursuivre	VERB
La	le	DET
Fontaine	Fontaine	PROPN
,	,	PUNCTclause
si	si	SCONJ
la	le	DET
robe	robe	NOUN
sied	seoir	ADJ
ou	ou	CCONJ
ne	ne	ADV
sied	seoir	VERB
pas	pas	ADV
à	à	ADP
M.	M.	PROPN
Fouquet	Fouquet	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
de	de	DET
la	le	AUX
robe	robe	NOUN
que	que	SCONJ
il	il	PRON
se	se	PRON
agit	agir	VERB
,	,	PUNCTclause
riposta	riposter	X
Pélisson	Pélisson	PROPN
,	,	PUNCTclause
contrarié	contrarier	VERB
des	un	DET
rires	rire	NOUN
de	de	DET
l'	le	NOUN
assemblée	assemblée	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
au contraire	au contraire	ADV
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
de	de	DET
la	le:PRON	PRON
robe	rober	VERB
