# columns = TERM LEMMA POS PROB
# identifier = dumas1846d-39
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = La Dame de Monsoreau
# title = XIV. Comment il est prouvé qu’écouter est le meilleur moyen pour entendre.

↵↵↵	↵↵↵	PUNCTstruct
XIV	XIV	NOUN
.	.	PUNCTsent
Comment	comment	ADV
il	il	PRON
est	être	AUX
prouvé	prouver	VERB
que	que	SCONJ
écouter	écouter	VERB
est	être	AUX
le	le	DET
meilleur	meilleur	ADJ
moyen	moyen	NOUN
pour	pour	ADP
entendre	entendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
duc	duc	NOUN
de	de	ADP
Anjou	Anjou	PROPN
avait	avoir	AUX
rejoint	rejoindre	VERB
son	son	DET
hôte	hôte	NOUN
,	,	PUNCTclause
le	le	DET
duc	duc	NOUN
de	de	ADP
Guise	Guise	PROPN
,	,	PUNCTclause
dans	dans	ADP
cette	ce	DET
chambre	chambre	NOUN
de	de	ADP
la	le	DET
reine	reine	NOUN
de	de	ADP
Navarre	Navarre	PROPN
,	,	PUNCTclause
où	où	PRON
autrefois	autrefois	ADV
le	le	DET
Béarnais	béarnais	NOUN
et	et	CCONJ
de	de	ADP
Mouy	Mouy	PROPN
avaient	avoir	AUX
,	,	PUNCTclause
à voix basse	à voix basse	ADV
et	et	CCONJ
la	le	DET
bouche	bouche	NOUN
contre	contre	ADP
l'	le	DET
oreille	oreille	NOUN
,	,	PUNCTclause
arrêté	arrêter	VERB
leurs	leur	DET
projets	projet	NOUN
de	de	ADP
évasion	évasion	NOUN
;	;	PUNCTclause
ce	ce	PRON
est	être	AUX
que	que	SCONJ
le	le	DET
prudent	prudent	ADJ
Henri	Henri	PROPN
savait	savoir	VERB
bien	bien	ADV
que	que	SCONJ
il	il	PRON
existait	exister	VERB
peu de	peu de	DET
chambres	chambre	NOUN
au	au	ADP_DET
Louvre	Louvre	PROPN
qui	qui	PRON
ne	ne	ADV
fussent	être	VERB
ménagées	ménager	VERB
de manière à	de manière à	ADP
laisser	laisser	VERB
arriver	arriver	VERB
les	le	DET
paroles	parole	NOUN
même	même	ADJ
dites	dire	VERB
à	à	ADP
demi-voix	demi-voix	NOUN
à	à	ADP
l'	le	DET
oreille	oreille	NOUN
de	de	ADP
celui	celui	PRON
qui	qui	PRON
avait	avoir	VERB
intérêt	intérêt	NOUN
à	à	ADP
les	le	DET
entendre	entendre	VERB
.	.	PUNCTsent
Le	le	DET
duc	duc	NOUN
de	de	ADP
Anjou	Anjou	PROPN
ne	ne	ADV
ignorait	ignorer	VERB
pas	pas	ADV
non	non	ADV
plus	plus	ADV
ce	ce	DET
détail	détail	NOUN
si	si	SCONJ
important	important	ADJ
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
complètement	complètement	ADV
séduit	séduire	VERB
par	par	ADP
la	le	DET
bonhomie	bonhomie	NOUN
de	de	ADP
son	son	DET
frère	frère	NOUN
,	,	PUNCTclause
il	il	PRON
l'	le	DET
oublia	oublier	VERB
ou	ou	CCONJ
ne	ne	ADV
y	y	PRON
attacha	attacher	VERB
aucune	aucun	DET
importance	importance	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Henri	Henri	PROPN
III	III	NUM
,	,	PUNCTclause
comme	comme	ADP
nous	nous	PRON
venons	venir	VERB
de	de	ADP
le	le	DET
dire	dire	NOUN
,	,	PUNCTclause
entra	entrer	VERB
dans	dans	ADP
son	son	DET
observatoire	observatoire	NOUN
au moment où	au moment où	ADP
,	,	PUNCTclause
de	de	ADP
son	son	DET
côté	côté	NOUN
,	,	PUNCTclause
son	son	DET
frère	frère	NOUN
entrait	entrer	VERB
dans	dans	ADP
la	le	DET
chambre	chambre	NOUN
,	,	PUNCTclause
de sorte que	de sorte que	SCONJ
aucune	aucun	DET
des	un	ADP_DET
paroles	parole	NOUN
des	un	ADP_DET
deux	deux	NUM
interlocuteurs	interlocuteur	NOUN
ne	ne	ADV
échappa	échapper	VERB
au	au	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
?	?	PUNCTsent
demanda	demander	VERB
vivement	vivement	ADV
le	le	DET
duc	duc	NOUN
de	de	ADP
Guise	Guise	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
duc	duc	NOUN
!	!	PUNCTsent
la	le	DET
séance	séance	NOUN
est	être	AUX
levée	lever	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
étiez	être	AUX
bien	bien	ADV
pâle	pâle	ADJ
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Visiblement	visiblement	ADV
?	?	PUNCTsent
demanda	demander	VERB
le	le	DET
duc	duc	NOUN
avec	avec	ADP
inquiétude	inquiétude	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pour	pour	ADP
moi	moi	PRON
,	,	PUNCTclause
oui	oui	INTJ
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
roi	roi	NOUN
ne	ne	ADV
a	avoir	AUX
rien	rien	PRON
vu	voir	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Rien	rien	PRON
,	,	PUNCTclause
du	du	ADP_DET
moins	moins	ADV
à	à	ADP
ce	ce	PRON
que	que	PRON
je	je	PRON
crois	croire	VERB
,	,	PUNCTclause
et	et	CCONJ
Sa	son	DET
Majesté	majesté	NOUN
a	avoir	AUX
retenu	retenir	VERB
Votre	votre	DET
Altesse	altesse	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
l'	le:PRON	PRON
avez	avoir	AUX
vu	voir	VERB
,	,	PUNCTclause
duc	duc	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
sans doute	sans doute	ADV
pour	pour	ADP
lui	lui	PRON
parler	parler	VERB
de	de	ADP
la	le	DET
proposition	proposition	NOUN
que	que	PRON
je	je	PRON
étais	être	AUX
venu	venir	VERB
lui	lui	PRON
faire	faire	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
monsieur	monsieur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
en	en	ADP
ce	ce	PRON
moment	moment	NOUN
un	un	DET
silence	silence	NOUN
assez	assez	ADV
embarrassant	embarrassant	ADJ
dont	dont	PRON
Henri	Henri	PROPN
III	III	NUM
,	,	PUNCTclause
placé	placer	VERB
de manière à	de manière à	ADP
ne	ne	ADV
pas	pas	ADV
perdre	perdre	VERB
une	un	DET
parole	parole	NOUN
de	de	ADP
leur	leur	DET
entretien	entretien	NOUN
,	,	PUNCTclause
comprit	comprendre	VERB
le	le	DET
sens	sens	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
que	que	SCONJ
dit	dire	VERB
Sa	son	DET
Majesté	majesté	NOUN
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
?	?	PUNCTsent
demanda	demander	VERB
le	le	DET
duc	duc	NOUN
de	de	ADP
Guise	Guise	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
roi	roi	NOUN
approuve	approuver	VERB
l'	le	DET
idée	idée	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
plus	plus	ADV
l'	le	DET
idée	idée	NOUN
est	être	AUX
gigantesque	gigantesque	ADJ
,	,	PUNCTclause
plus	plus	ADV
un	un	DET
homme	homme	NOUN
tel	tel	PRON
que	que	SCONJ
vous	vous	PRON
,	,	PUNCTclause
mis	mettre	VERB
à	à	ADP
la	le	DET
tête	tête	NOUN
de	de	ADP
cette	ce	DET
idée	idée	NOUN
,	,	PUNCTclause
lui	lui	PRON
semble	sembler	VERB
dangereux	dangereux	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Alors	alors	ADV
nous	nous	PRON
sommes	être	AUX
près de	près de	ADP
échouer	échouer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
en	en	PRON
ai	avoir	VERB
peur	peur	NOUN
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
duc	duc	NOUN
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
Ligue	ligue	NOUN
me	me	PRON
paraît	paraître	VERB
supprimée	supprimer	VERB
