# columns = TERM LEMMA POS PROB
# identifier = dumas1855a-045
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = La comtesse de Charny
# title = XLV. Un gentilhomme

↵↵↵	↵↵↵	PUNCTstruct
XLV	XLV	X
.	.	PUNCTsent
Un	un	DET
gentilhomme	gentilhomme	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cette	ce	DET
visite	visite	NOUN
du	du	ADP_DET
roi	roi	NOUN
à	à	ADP
l'	le	DET
Assemblée	Assemblée	PROPN
avait	avoir	AUX
eu	avoir	VERB
lieu	lieu	NOUN
le	le	DET
4	4	NUM
février	février	NOUN
1790	1790	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Douze	Douze	NUM
jours	jour	NOUN
plus tard	plus tard	ADV
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
dans	dans	ADP
la	le	DET
nuit	nuit	NOUN
du	du	ADP_DET
17	17	NUM
au	au	ADP_DET
18	18	NUM
du	du	ADP_DET
même	même	ADJ
mois	mois	NOUN
,	,	PUNCTclause
en	en	ADP
l'	le	DET
absence	absence	NOUN
de	de	DET
M.	M.	PROPN
le	le	DET
gouverneur	gouverneur	NOUN
du	du	ADP_DET
Châtelet	Châtelet	PROPN
,	,	PUNCTclause
qui	qui	PRON
avait	avoir	AUX
demandé	demander	VERB
et	et	CCONJ
obtenu	obtenir	VERB
,	,	PUNCTclause
le	le	DET
jour	jour	NOUN
même	même	ADV
,	,	PUNCTclause
un	un	DET
congé	congé	NOUN
pour	pour	ADP
se	se	PRON
rendre	rendre	VERB
à	à	ADP
Soissons	Soissons	PROPN
près de	près de	ADP
sa	son	DET
mère	mère	NOUN
mourante	mourant	ADJ
,	,	PUNCTclause
un	un	DET
homme	homme	NOUN
se	se	PRON
présenta	présenter	VERB
à	à	ADP
la	le	DET
porte	porte	NOUN
de	de	DET
la	la	NUM
prison	prison	NOUN
,	,	PUNCTclause
porteur	porteur	NOUN
de	de	DET
un	un	PRON
ordre	ordre	VERB
signé	signer	VERB
de	de	DET
M.	M.	PROPN
le	le	DET
lieutenant de police	lieutenant de police	NOUN
,	,	PUNCTclause
lequel	lequel	PRON
ordre	ordre	VERB
autorisait	autoriser	VERB
le	le	DET
visiteur	visiteur	NOUN
à	à	ADP
conférer	conférer	VERB
sans	sans	ADP
témoin	témoin	NOUN
avec	avec	ADP
M.	M.	PROPN
de	de	DET
Favras	Favras	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
ordre	ordre	NOUN
était	être	AUX
il	il	PRON
réel	réel	ADJ
où	où	ADV
falsifié	falsifié	NOUN
,	,	PUNCTclause
ce	ce	PRON
est-ce que	est-ce que	ADV
nous	nous	PRON
ne	ne	ADV
oserions	oser	PRON
dire	dire	VERB
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
en	en	ADP
tout	tout	ADJ
cas	cas	NOUN
,	,	PUNCTclause
le	le	DET
sous-gouverneur	sous-gouverneur	NOUN
,	,	PUNCTclause
que	que	SCONJ
l'on	on	PRON
réveilla	réveiller	VERB
pour	pour	ADP
le	le	DET
