# columns = TERM LEMMA POS
# identifier = dumas1858c-07
# creator = Dumas, Alexandre
# created = 1858
# isPartOf = Madame de Chamblay
# title = VI

↵↵↵	↵↵↵	PUNCTstruct
VI	VI	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
était	être	AUX
,	,	PUNCTclause
en effet	en effet	ADV
,	,	PUNCTclause
la	le	DET
sœur	sœur	NOUN
de	de	ADP
lait	lait	NOUN
de	de	ADP
madame	madame	NOUN
de	de	ADP
Chamblay	Chamblay	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Je	je	PRON
vis	voir	VERB
entrer	entrer	VERB
une	un	DET
charmante	charmant	ADJ
paysanne	paysan	NOUN
qui	qui	PRON
semblait	sembler	VERB
de	de	ADP
deux	deux	NUM
ou	ou	CCONJ
trois	trois	NUM
ans	an	NOUN
plus	plus	ADV
jeune	jeune	ADJ
que	que	SCONJ
sa	son	DET
maîtresse	maître	NOUN
;	;	PUNCTclause
je	je	PRON
dis	dire	VERB
sa	son	DET
maîtresse	maître	NOUN
,	,	PUNCTclause
parce que	parce que	SCONJ
je	je	PRON
sus	savoir	VERB
plus tard	plus tard	ADV
que	que	SCONJ
elle	elle	PRON
remplissait	remplir	VERB
près de	près de	ADP
elle	elle	PRON
les	le	DET
fonctions	fonction	NOUN
de	de	ADP
femme de chambre	femme de chambre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
portait	porter	VERB
,	,	PUNCTclause
comme	comme	SCONJ
on	on	PRON
me	me	PRON
l'	le:PRON	PRON
avait	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
le	le	DET
costume	costume	NOUN
de	de	ADP
la	le	DET
paysanne	paysan	NOUN
normande	normand	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
dans	dans	ADP
toute	toute	DET
sa	son	DET
coquetterie	coquetterie	NOUN
.	.	PUNCTsent
Ce	ce	DET
costume	costume	NOUN
,	,	PUNCTclause
qui	qui	PRON
allait	aller	VERB
parfaitement	parfaitement	ADV
à	à	ADP
l'	le	DET
air	air	NOUN
de	de	ADP
son	son	DET
visage	visage	NOUN
,	,	PUNCTclause
en	en	ADP
faisait	faire	VERB
une	un	DET
des	un	DET
plus	plus	ADV
jolies	joli	ADJ
filles	fille	NOUN
que	que	SCONJ
je	je	PRON
aie	avoir	AUX
jamais	jamais	ADV
vues	voir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
était	être	AUX
fort	fort	ADV
rouge	rouge	ADJ
et	et	CCONJ
toute	tout	ADJ
honteuse	honteux	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
vous	vous	PRON
,	,	PUNCTclause
le	le	DET
monsieur	monsieur	NOUN
que	que	PRON
…	…	PUNCTsent
?	?	PUNCTsent
ce	ce	PRON
est	être	AUX
vous	vous	PRON
,	,	PUNCTclause
le	le	DET
monsieur	monsieur	NOUN
qui	qui	PRON
…	…	PUNCTsent
?	?	PUNCTsent
balbutia	balbutier	VERB
elle	elle	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
moi	moi	PRON
,	,	PUNCTclause
le	le	DET
monsieur	monsieur	NOUN
qui	qui	PRON
…	…	PUNCTsent
,	,	PUNCTclause
lui	lui	PRON
dis	dire	VERB
je	je	PRON
en	en	ADP
riant	rire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
que	que	ADV
madame	madame	NOUN
me	me	PRON
a	avoir	AUX
dit	dire	VERB
une	un	DET
chose	chose	NOUN
qui	qui	PRON
ne	ne	ADV
me	me	PRON
paraît	paraître	VERB
pas	pas	ADV
possible	possible	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	PRON
vous	vous	PRON
a	avoir	AUX
dit	dire	VERB
madame	madame	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Elle	elle	PRON
me	me	PRON
a	avoir	AUX
dit	dire	VERB
que	que	SCONJ
vous	vous	PRON
nous	nous	PRON
donniez	donner	VERB
deux	deux	NUM
mille	mille	NUM
francs	franc	NOUN
pour	pour	ADP
acheter	acheter	VERB
un	un	DET
homme	homme	NOUN
à	à	ADP
Gratien	Gratien	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
ce	ce	DET
moment	moment	NOUN
,	,	PUNCTclause
le	le	DET
domestique	domestique	NOUN
rentrait	rentrer	VERB
et	et	CCONJ
me	me	PRON
remettait	remettre	VERB
les	le	DET
deux	deux	NUM
mille	mille	NUM
francs	franc	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
si	si	ADV
bien	bien	ADV
possible	possible	ADJ
,	,	PUNCTclause
lui	lui	PRON
dis	dire	VERB
je	je	PRON
,	,	PUNCTclause
que	que	SCONJ
les	le	DET
voilà	voilà	ADP
,	,	PUNCTclause
ma	mon	DET
chère	chère	NOUN
enfant	enfant	NOUN
.	.	PUNCTsent
Tendez	tendre	VERB
votre	votre	DET
main	main	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
hésitait	hésiter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
voyez	voir	VERB
bien	bien	ADV
que	que	SCONJ
ce	ce	PRON
est	être	AUX
vous	vous	PRON
qui	qui	PRON
ne	ne	ADV
voulez	vouloir	VERB
pas	pas	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
avança	avancer	VERB
timidement	timidement	ADV
la	le	DET
main	main	NOUN
;	;	PUNCTclause
je	je	PRON
y	y	PRON
déposai	déposer	VERB
les	le	DET
deux	deux	NUM
mille	mille	NUM
francs	franc	NOUN
en	en	ADP
or	or	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
mon Dieu	mon Dieu	NOUN
!	!	PUNCTsent
dit	dire	VERB
elle	elle	PRON
,	,	PUNCTclause
quelle	quel	DET
grosse	gros	ADJ
somme	somme	NOUN
cela	cela	PRON
fait	faire	VERB
!	!	PUNCTsent
Si	si	SCONJ
nous	nous	PRON
ne	ne	ADV
pouvions	pouvoir	VERB
pas	pas	ADV
vous	vous	PRON
la	le:PRON	PRON
rendre	rendre	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Madame	madame	NOUN
ne	ne	ADV
vous	vous	PRON
a	avoir	AUX
elle	elle	PRON
pas	pas	ADV
dit	dire	VERB
,	,	PUNCTclause
mon	mon	DET
enfant	enfant	NOUN
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
ne	ne	ADV
vous	vous	PRON
la	le:PRON	PRON
donnais	donner	VERB
,	,	PUNCTclause
au contraire	au contraire	ADV
,	,	PUNCTclause
que	que	SCONJ
à	à	ADP
la	le	DET
condition	condition	NOUN
que	que	SCONJ
vous	vous	PRON
ne	ne	ADV
me	me	PRON
la	le:PRON	PRON
rendriez	rendre	VERB
jamais	jamais	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
vous	vous	PRON
ne	ne	ADV
pouvez	pouvoir	VERB
nous	nous	PRON
donner	donner	VERB
une	un	DET
pareille	pareil	NOUN
somme	somme	NOUN
pour	pour	ADP
rien	rien	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
vous	vous	PRON
la	le:PRON	PRON
donne	donner	VERB
pas	pas	ADV
non	non	ADV
plus	plus	ADV
pour	pour	ADP
rien	rien	PRON
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
vais	aller	VERB
vous	vous	PRON
la	le:PRON	PRON
faire	faire	AUX
payer	payer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
mon Dieu	mon Dieu	PROPN
,	,	PUNCTclause
comment	comment	ADV
cela	cela	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
rassurez	rassurer	VERB
vous	vous	PRON
:	:	PUNCTclause
en	en	ADP
causant	causer	VERB
cinq	cinq	NUM
minutes	minute	NOUN
avec	avec	ADP
moi	moi	PRON
de	de	ADP
quelqu'un	quelqu'un	PRON
qui	qui	PRON
vous	vous	PRON
aime	aimer	VERB
beaucoup	beaucoup	ADV
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
vous	vous	PRON
ne	ne	ADV
êtes	être	VERB
point	point	ADV
assez	assez	ADV
ingrate	ingrat	ADJ
pour	pour	ADP
ne	ne	ADV
pas	pas	ADV
aimer	aimer	VERB
de	de	ADP
votre	votre	DET
côté	côté	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
aime	aimer	VERB
que	que	SCONJ
deux	deux	NUM
personnes	personne	NOUN
au	au	ADP_DET
monde	monde	NOUN
,	,	PUNCTclause
à part	à part	ADP
ma	mon	DET
mère	mère	NOUN
et	et	CCONJ
ma	mon	DET
petite	petit	ADJ
sœur	sœur	NOUN
:	:	PUNCTclause
ce	ce	PRON
est	être	AUX
Gratien	Gratien	PROPN
et	et	CCONJ
madame	madame	NOUN
de	de	ADP
Chamblay	Chamblay	PROPN
;	;	PUNCTclause
et	et	CCONJ
encore	encore	ADV
,	,	PUNCTclause
je	je	PRON
devrais	devoir	VERB
dire	dire	VERB
madame	madame	NOUN
de	de	ADP
Chamblay	Chamblay	PROPN
et	et	CCONJ
Gratien	Gratien	PROPN
,	,	PUNCTclause
car	car	CCONJ
je	je	PRON
crois	croire	VERB
que	que	SCONJ
je	je	PRON
l'	le:PRON	PRON
aime	aimer	VERB
encore	encore	ADV
mieux	mieux	ADV
que	que	SCONJ
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
mais	mais	CCONJ
ce	ce	PRON
est	être	AUX
de	de	ADP
l'une	l'une	PRON
de	de	ADP
ces	ce	DET
deux	deux	NUM
personnes	personne	NOUN
que	que	SCONJ
nous	nous	PRON
allons	aller	VERB
causer	causer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
De	de	ADP
laquelle	laquelle	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
De	de	ADP
madame	madame	NOUN
de	de	ADP
Chamblay	Chamblay	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
bien	bien	ADV
volontiers	volontiers	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
;	;	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
aime	aimer	VERB
tant	tant	ADV
,	,	PUNCTclause
que	que	SCONJ
ce	ce	PRON
est	être	AUX
un	un	DET
bonheur	bonheur	NOUN
pour	pour	ADP
moi	moi	PRON
que	que	PRON
de	de	ADP
parler	parler	VERB
de	de	ADP
elle	elle	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Asseyez	asseoir	VERB
vous	vous	PRON
alors	alors	ADV
,	,	PUNCTclause
lui	lui	PRON
dis	dire	VERB
je	je	PRON
en	en	ADP
poussant	pousser	VERB
une	un	DET
chaise	chaise	NOUN
de	de	ADP
son	son	DET
côté	côté	NOUN
,	,	PUNCTclause
et	et	CCONJ
soyez	être	AUX
heureuse	heureux	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
monsieur	monsieur	NOUN
,	,	PUNCTclause
fit	faire	AUX
