# columns = TERM LEMMA POS
# identifier = sand1849-24
# creator = Sand, George
# created = 1849
# isPartOf = La petite Fadette
# title = XXIII

↵↵↵	↵↵↵	PUNCTstruct
Xxiii	Xxiii	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Landry	Landry	PROPN
eut	avoir	VERB
bien	bien	ADV
peur	peur	NOUN
,	,	PUNCTclause
et	et	CCONJ
lui	lui	PRON
frappa	frapper	VERB
dans	dans	ADP
les	le	DET
mains	main	NOUN
pour	pour	ADP
la	le:PRON	PRON
faire	faire	AUX
revenir	revenir	VERB
.	.	PUNCTsent
Ses	son	DET
mains	main	NOUN
étaient	être	AUX
froides	froid	ADJ
comme	comme	ADP
des	un	DET
glaces	glace	NOUN
et	et	CCONJ
raides	raide	ADJ
comme	comme	ADP
du	du	DET
bois	bois	NOUN
.	.	PUNCTsent
Il	il	PRON
les	le	DET
échauffa	échauffer	VERB
et	et	CCONJ
les	le	DET
frotta	frotter	VERB
bien	bien	ADV
longtemps	longtemps	ADV
dans	dans	ADP
les siennes	les siennes	PRON
,	,	PUNCTclause
et	et	CCONJ
quand	quand	SCONJ
elle	elle	PRON
put	pouvoir	VERB
retrouver	retrouver	VERB
la	le	DET
parole	parole	NOUN
,	,	PUNCTclause
elle	elle	PRON
lui	lui	PRON
dit	dire	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
crois	croire	VERB
que	que	SCONJ
tu	tu	PRON
te	te	PRON
fais	faire	AUX
un	un	DET
jeu	jeu	NOUN
de	de	ADP
moi	moi	PRON
,	,	PUNCTclause
Landry	Landry	PROPN
.	.	PUNCTsent
il y a	il y a	VERB
des	un	DET
choses	chose	NOUN
dont	dont	PRON
il	il	PRON
ne	ne	ADV
faut	falloir	VERB
pourtant	pourtant	ADV
point	point	ADV
plaisanter	plaisanter	VERB
.	.	PUNCTsent
Je	je	PRON
te	te	PRON
prie	prier	VERB
donc	donc	ADV
de	de	ADP
me	me	PRON
laisser	laisser	VERB
tranquille	tranquille	ADJ
et	et	CCONJ
de	de	ADP
ne	ne	ADV
me	me	PRON
parler	parler	VERB
jamais	jamais	ADV
,	,	PUNCTclause
à	à	ADP
moins	moins	ADV
que	que	SCONJ
tu	tu	PRON
ne	ne	ADV
aies	avoir	VERB
quelque chose	quelque chose	PRON
à	à	ADP
me	me	PRON
demander	demander	VERB
,	,	PUNCTclause
auquel cas	auquel cas	CCONJ
je	je	PRON
serai	être	VERB
toujours	toujours	ADV
à	à	ADP
ton	ton	DET
service	service	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Fadette	fadette	NOUN
,	,	PUNCTclause
Fadette	Fadette	PROPN
,	,	PUNCTclause
dit	dire	VERB
Landry	Landry	PROPN
,	,	PUNCTclause
ce	ce	PRON
que	que	PRON
vous	vous	PRON
dites	dire	VERB
là	là	ADV
ne	ne	ADV
est	être	AUX
point	point	ADV
bon	bon	ADJ
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
vous	vous	PRON
qui	qui	PRON
vous	vous	PRON
êtes	être	AUX
jouée	jouer	VERB
de	de	ADP
moi	moi	PRON
.	.	PUNCTsent
Vous	vous	PRON
me	me	PRON
détestez	détester	VERB
,	,	PUNCTclause
et	et	CCONJ
pourtant	pourtant	ADV
vous	vous	PRON
me	me	PRON
avez	avoir	AUX
fait	faire	AUX
croire	croire	VERB
autre chose	autre chose	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
!	!	PUNCTsent
dit	dire	VERB
elle	elle	PRON
tout	tout	PRON
affligée	affliger	VERB
.	.	PUNCTsent
qu'est-ce que	qu'est-ce que	ADV
je	je	PRON
vous	vous	PRON
ai	avoir	AUX
donc	donc	ADV
fait	faire	VERB
accroire	accroire	VERB
?	?	PUNCTsent
Je	je	PRON
vous	vous	PRON
ai	avoir	AUX
offert	offrir	VERB
et	et	CCONJ
donné	donner	VERB
une	un	DET
bonne	bon	ADJ
amitié	amitié	NOUN
comme	comme	ADP
celle	celle	PRON
que	que	SCONJ
votre	votre	DET
besson	besson	NOUN
a	avoir	VERB
pour	pour	ADP
vous	vous	PRON
,	,	PUNCTclause
et	et	CCONJ
peut-être	peut-être	ADV
meilleure	meilleur	ADJ
;	;	PUNCTclause
car	car	CCONJ
moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
avais	avoir	AUX
pas	pas	ADV
de	de	DET
jalousie	jalousie	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
au lieu de	au lieu de	ADP
vous	vous	PRON
traverser	traverser	VERB
dans	dans	ADP
vos	vos	DET
amours	amour	NOUN
,	,	PUNCTclause
je	je	PRON
