# columns = TERM LEMMA POS
# identifier = dumas1850b-77
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = Le Collier de la reine
# title = LXXVII. Explications

↵↵↵	↵↵↵	PUNCTstruct
Lxxvii	Lxxvii	PROPN
.	.	PUNCTsent
Explications	explication	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Nous	nous	PRON
l'	le:PRON	PRON
avons	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
la	le	DET
reine	reine	NOUN
et	et	CCONJ
le	le	DET
cardinal	cardinal	NOUN
se	se	PRON
trouvaient	trouver	VERB
enfin	enfin	ADV
face à face	face à face	NOUN
.	.	PUNCTsent
Charny	Charny	PROPN
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
cabinet	cabinet	NOUN
,	,	PUNCTclause
pouvait	pouvoir	VERB
entendre	entendre	VERB
jusque	jusque	ADP
à	à	ADP
la	le	DET
moindre	moindre	ADJ
parole	parole	NOUN
des	un	ADP_DET
interlocuteurs	interlocuteur	NOUN
,	,	PUNCTclause
et	et	CCONJ
les	le	DET
explications	explication	NOUN
si	si	ADV
impatiemment	impatiemment	ADV
attendues	attendre	VERB
des	un	ADP_DET
deux	deux	NUM
parts	part	NOUN
allaient	aller	VERB
enfin	enfin	ADV
avoir lieu	avoir lieu	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Madame	madame	NOUN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
cardinal	cardinal	NOUN
en	en	ADP
se	se	PRON
inclinant	incliner	VERB
,	,	PUNCTclause
vous	vous	PRON
savez	savoir	VERB
ce	ce	PRON
qui	qui	PRON
se	se	PRON
passe	passer	VERB
au sujet de	au sujet de	ADP
notre	notre	DET
collier	collier	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
le	le:PRON	PRON
sais	savoir	VERB
pas	pas	ADV
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
suis	être	AUX
aise	aise	NOUN
de	de	ADP
l'	le	DET
apprendre	apprendre	VERB
de	de	ADP
vous	vous	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pourquoi	pourquoi	ADV
Votre	votre	VERB
Majesté	Majesté	PROPN
me	me	PRON
réduit	réduire	VERB
elle	elle	PRON
depuis	depuis	ADV
si	si	ADV
longtemps	longtemps	ADV
à	à	ADP
ne	ne	ADV
plus	plus	ADV
communiquer	communiquer	VERB
avec	avec	ADP
elle	elle	PRON
que	que	PRON
par	par	ADP
intermédiaire	intermédiaire	NOUN
?	?	PUNCTsent
Pourquoi	pourquoi	ADV
,	,	PUNCTclause
si	si	SCONJ
elle	elle	PRON
a	avoir	VERB
quelque	quelque	DET
sujet	sujet	NOUN
de	de	ADP
me	me	PRON
haïr	haïr	VERB
,	,	PUNCTclause
ne	ne	ADV
me	me	PRON
le	le:PRON	PRON
témoigne	témoigner	VERB
elle	elle	PRON
pas	pas	ADV
en	en	PRON
me	me	PRON
l'	le	DET
expliquant	expliquer	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
sais	savoir	VERB
ce	ce	PRON
que	que	SCONJ
vous	vous	PRON
voulez	vouloir	VERB
dire	dire	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
cardinal	cardinal	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ne	ne	ADV
ai	avoir	AUX
aucun	aucun	DET
sujet	sujet	NOUN
de	de	ADP
vous	vous	PRON
haïr	haïr	VERB
;	;	PUNCTclause
mais	mais	CCONJ
là	là	ADV
ne	ne	ADV
est	être	AUX
pas	pas	ADV
,	,	PUNCTclause
je	je	PRON
crois	croire	VERB
,	,	PUNCTclause
l'	le	DET
objet	objet	NOUN
de	de	ADP
notre	notre	DET
entretien	entretien	NOUN
.	.	PUNCTsent
Veuillez	vouloir	VERB
donc	donc	ADV
me	me	PRON
donner	donner	VERB
sur	sur	ADP
ce	ce	DET
malheureux	malheureux	NOUN
collier	collier	NOUN
un	un	DET
renseignement	renseignement	NOUN
positif	positif	ADJ
,	,	PUNCTclause
et	et	CCONJ
d'abord	d'abord	ADV
où	où	PRON
est	être	AUX
madame	madame	NOUN
de	de	ADP
La	le	DET
Motte	Motte	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
allais	aller	VERB
le	le:PRON	PRON
demander	demander	VERB
à	à	ADP
Votre	Votre	PROPN
Majesté	Majesté	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pardon	pardon	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
si	si	SCONJ
quelqu'un	quelqu'un	PRON
peut	pouvoir	VERB
savoir	savoir	VERB
où	où	PRON
est	être	AUX
madame	madame	NOUN
de	de	ADP
La	le	DET
Motte	Motte	PROPN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
vous	vous	PRON
,	,	PUNCTclause
je	je	PRON
pense	penser	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
,	,	PUNCTclause
madame	madame	NOUN
,	,	PUNCTclause
à	à	ADP
quel	quel	DET
titre	titre	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
je	je	PRON
ne	ne	ADV
suis	être	AUX
pas	pas	ADV
ici	ici	ADV
pour	pour	ADP
recevoir	recevoir	VERB
vos	vos	DET
confessions	confession	NOUN
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
cardinal	cardinal	NOUN
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
eu	avoir	VERB
besoin	besoin	NOUN
de	de	ADP
parler	parler	VERB
à	à	ADP
madame	madame	NOUN
de	de	ADP
La	le	DET
Motte	Motte	PROPN
,	,	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
fait	faire	AUX
appeler	appeler	VERB
,	,	PUNCTclause
on	on	PRON
l'	le:PRON	PRON
a	avoir	AUX
cherchée	chercher	VERB
chez	chez	ADP
elle	elle	PRON
à	à	ADP
dix	dix	NUM
reprises	repris	NOUN
:	:	PUNCTclause
elle	elle	PRON
ne	ne	ADV
a	avoir	VERB
rien	rien	PRON
répondu	répondre	VERB
.	.	PUNCTsent
Cette	ce	DET
disparition	disparition	NOUN
est	être	AUX
étrange	étrange	ADJ
,	,	PUNCTclause
vous	vous	PRON
me	me	PRON
avouerez	avouer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
moi	moi	PRON
aussi	aussi	ADV
,	,	PUNCTclause
madame	madame	NOUN
,	,	PUNCTclause
je	je	PRON
me	me	PRON
étonne	étonner	VERB
de	de	ADP
cette	ce	DET
disparition	disparition	NOUN
,	,	PUNCTclause
car	car	CCONJ
je	je	PRON
ai	avoir	AUX
fait	faire	VERB
prier	prier	VERB
madame	madame	NOUN
de	de	ADP
La	le	DET
