# columns = TERM LEMMA POS
# identifier = dumas1851a-54
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Ange Pitou
# title = LIV. La nuit du 5 au 6 octobre

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
La	le	DET
nuit	nuit	NOUN
du	du	ADP_DET
5	5	NUM
au	au	ADP_DET
6	6	NUM
octobre	octobre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
nuit	nuit	NOUN
fut	être	AUX
assez	assez	ADV
tranquille	tranquille	ADJ
;	;	PUNCTclause
l'	le	DET
Assemblée	Assemblée	PROPN
demeura	demeurer	VERB
en	en	ADP
séance	séance	NOUN
jusque	jusque	ADP
à	à	ADP
trois	trois	NUM
heures	heure	NOUN
du	du	ADP_DET
matin	matin	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
À	à	ADP
trois	trois	NUM
heures	heure	NOUN
,	,	PUNCTclause
avant que	avant que	SCONJ
les	le	DET
membres	membre	NOUN
se	se	PRON
séparassent	séparer	VERB
,	,	PUNCTclause
elle	elle	PRON
envoya	envoyer	VERB
deux	deux	NUM
de	de	ADP
ses	son	DET
huissiers	huissier	NOUN
qui	qui	PRON
parcoururent	parcourir	VERB
Versailles	Versailles	PROPN
,	,	PUNCTclause
visitèrent	visiter	VERB
les	le	DET
abords	abord	NOUN
du	du	ADP_DET
château	château	NOUN
,	,	PUNCTclause
et	et	CCONJ
firent	faire	VERB
le	le	DET
tour	tour	NOUN
du	du	ADP_DET
parc	parc	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Tout	tout	PRON
était	être	AUX
ou	ou	CCONJ
tout	tout	ADV
paraissait	paraître	VERB
être	être	AUX
tranquille	tranquille	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
reine	reine	NOUN
avait	avoir	AUX
voulu	vouloir	VERB
sortir	sortir	VERB
vers	vers	ADP
minuit	minuit	NOUN
par	par	ADP
la	le	DET
grille	grille	NOUN
de	de	ADP
Trianon	Trianon	PROPN
,	,	PUNCTclause
mais	mais	CCONJ
la	le	DET
garde nationale	garde nationale	NOUN
avait	avoir	AUX
refusé	refuser	VERB
de	de	ADP
la	le	DET
laisser passer	laisser passer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
avait	avoir	AUX
allégué	alléguer	VERB
des	un	DET
craintes	crainte	NOUN
,	,	PUNCTclause
et	et	CCONJ
on	on	PRON
lui	lui	PRON
avait	avoir	AUX
répondu	répondre	VERB
que	que	SCONJ
elle	elle	PRON
était	être	AUX
plus	plus	ADV
en	en	ADP
sûreté	sûreté	NOUN
à	à	ADP
Versailles	Versailles	PROPN
que	que	SCONJ
partout	partout	ADV
ailleurs	ailleurs	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
conséquence	conséquence	NOUN
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
était	être	AUX
retirée	retirer	VERB
dans	dans	ADP
ses	son	DET
petits	petit	ADJ
appartements	appartement	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
en effet	en effet	ADV
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
était	être	AUX
rassurée	rassurer	VERB
on	on	PRON
les	le:PRON	PRON
voyant	voir	VERB
protégés	protéger	VERB
par	par	ADP
ses	son	DET
gardes	garde	NOUN
les	le	DET
plus	plus	ADV
fidèles	fidèle	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
À	à	ADP
sa	son	DET
porte	porte	NOUN
,	,	PUNCTclause
elle	elle	PRON
avait	avoir	AUX
trouvé	trouver	VERB
Georges	Georges	PROPN
de	de	ADP
Charny	Charny	PROPN
.	.	PUNCTsent
Il	il	PRON
était	être	AUX
armé	armer	VERB
,	,	PUNCTclause
appuyé	appuyer	VERB
sur	sur	ADP
le	le	DET
fusil	fusil	NOUN
court	court	ADJ
que	que	SCONJ
les	le	DET
gardes	garde	NOUN
portaient	porter	VERB
comme	comme	ADP
les	le	DET
dragons	dragon	NOUN
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
contre	contre	ADP
les	le	DET
habitudes	habitude	NOUN
:	:	PUNCTclause
les	le	DET
gardes	garde	NOUN
,	,	PUNCTclause
à	à	ADP
l'	le	DET
intérieur	intérieur	NOUN
,	,	PUNCTclause
ne	ne	ADV
faisaient	faire	VERB
faction	faction	NOUN
que	que	SCONJ
avec	avec	ADP
leurs	leur	DET
sabres	sabre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Alors	alors	ADV
elle	elle	PRON
se	se	PRON
était	être	AUX
approchée	approcher	VERB
de	de	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
ce	ce	PRON
est	être	AUX
vous	vous	PRON
,	,	PUNCTclause
baron	baron	NOUN
,	,	PUNCTclause
avait	avoir	AUX
elle	elle	PRON
dit	dire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
madame	madame	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Toujours	toujours	ADV
fidèle	fidèle	ADJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ne	ne	ADV
suis	être	AUX
je	je	PRON
pas	pas	ADV
à	à	ADP
mon	mon	DET
poste	poste	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Qui	qui	PRON
vous	vous	PRON
y	y	PRON
a	avoir	AUX
mis	mettre	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mon	mon	DET
frère	frère	NOUN
,	,	PUNCTclause
madame	madame	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
où	où	PRON
est	être	AUX
votre	votre	DET
frère	frère	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Près	près	ADV
du	du	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pourquoi	pourquoi	ADV
,	,	PUNCTclause
près	près	ADV
du	du	ADP_DET
roi	roi	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
parce que	parce que	SCONJ
il	il	PRON
est	être	AUX
le	le	DET
chef	chef	NOUN
de	de	ADP
la	le	DET
famille	famille	NOUN
,	,	PUNCTclause
a	avoir	AUX
il	il	PRON
dit	dire	VERB
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
en	en	ADP
cette	ce	DET
qualité	qualité	NOUN
il	il	PRON
a	avoir	VERB
le	le	DET
droit	droit	NOUN
de	de	ADP
mourir	mourir	VERB
pour	pour	ADP
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
qui	qui	PRON
est	être	AUX
le	le	DET
chef d'État	chef d'État	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
dit	dire	VERB
Marie-Antoinette	Marie-Antoinette	PROPN
avec	avec	ADP
une	un	DET
certaine	certain	ADJ
amertume	amertume	NOUN
,	,	PUNCTclause
tandis que	tandis que	SCONJ
vous	vous	PRON
…	…	PUNCTsent
vous	vous	PRON
ne	ne	ADV
avez	avoir	VERB
le	le	DET
droit	droit	NOUN
de	de	ADP
mourir	mourir	VERB
que	que	SCONJ
pour	pour	ADP
la	le	DET
reine	reine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ce	ce	PRON
sera	être	AUX
un	un	DET
grand	grand	ADJ
honneur	honneur	NOUN
pour	pour	ADP
moi	moi	PRON
,	,	PUNCTclause
madame	madame	NOUN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
en	en	ADP
se	se	PRON
inclinant	incliner	VERB
,	,	PUNCTclause
si	si	SCONJ
Dieu	Dieu	PROPN
permet	permettre	VERB
que	que	SCONJ
je	je	PRON
accomplisse	accomplir	VERB
jamais	jamais	ADV
ce	ce	PRON
devoir	devoir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
reine	reine	NOUN
fit	faire	AUX
un	un	DET
pas	pas	NOUN
pour	pour	ADP
se	se	PRON
retirer	retirer	VERB
,	,	PUNCTclause
mais	mais	CCONJ
un	un	DET
soupçon	soupçon	NOUN
la	le	DET
mordit	mordre	VERB
au	au	ADP_DET
cœur	cœur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
se	se	PRON
arrêta	arrêter	VERB
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
tournant	tournant	NOUN
à	à	ADP
demi	demi	NOUN
la	le	DET
tête	tête	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
…	…	PUNCTsent
la	le	DET
comtesse	comte	NOUN
,	,	PUNCTclause
demanda	demander	VERB
elle	elle	PRON
,	,	PUNCTclause
que	que	PRON
est	être	AUX
elle	elle	PRON
devenue	devenir	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
La	le	DET
comtesse	comte	NOUN
,	,	PUNCTclause
madame	madame	NOUN
,	,	PUNCTclause
vient	venir	VERB
de	de	ADP
rentrer	rentrer	VERB
il y a	il y a	VERB
dix	dix	NUM
minutes	minute	NOUN
,	,	PUNCTclause
et	et	CCONJ
se	se	PRON
est	être	AUX
fait	faire	VERB
dresser	dresser	VERB
un	un	DET
lit	lit	NOUN
dans	dans	ADP
l'	le	DET
antichambre	antichambre	NOUN
de	de	ADP
Votre	Votre	PROPN
Majesté	Majesté	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
reine	reine	NOUN
se	se	PRON
mordit	mordre	VERB
les	le	DET
lèvres	lèvre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
suffisait	suffire	VERB
que	que	SCONJ
on	on	PRON
touchât	toucher	VERB
en	en	ADP
quelque	quelque	DET
point	point	NOUN
à	à	ADP
cette	ce	DET
famille	famille	NOUN
de	de	ADP
Charny	Charny	PROPN
pour que	pour que	SCONJ
on	on	PRON
ne	ne	ADV
fût	être	AUX
