# columns = TERM LEMMA POS
# identifier = dumas1865-034
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = La San Felice
# title = XXXIV. Loque et Chiffe

↵↵↵	↵↵↵	PUNCTstruct
XXXIV	XXXIV	NOUN
.	.	PUNCTsent
Loque	loque	NOUN
et	et	CCONJ
Chiffe	Chiffe	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
comprend	comprendre	VERB
que	que	SCONJ
,	,	PUNCTclause
malgré	malgré	ADP
la	le	DET
menace	menace	NOUN
de	de	ADP
Pezza	Pezza	PROPN
,	,	PUNCTclause
Peppino	Peppino	PROPN
ne	ne	ADV
en	en	PRON
persista	persister	VERB
pas	pas	ADV
moins	moins	ADV
dans	dans	ADP
ses	son	DET
projets	projet	NOUN
de	de	ADP
mariage	mariage	NOUN
avec	avec	ADP
Francesca	Francesca	PROPN
;	;	PUNCTclause
personne	personne	NOUN
ne	ne	ADV
avait	avoir	AUX
entendu	entendre	VERB
ce	ce	DET
que	que	SCONJ
Michele	Michele	PROPN
lui	lui	PRON
avait	avoir	AUX
dit	dire	VERB
tout	tout	ADV
bas	bas	ADJ
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
en	en	ADP
le	le:PRON	PRON
voyant	voir	VERB
renoncer	renoncer	VERB
à	à	ADP
la	le	DET
main	main	NOUN
de	de	ADP
Francesca	Francesca	PROPN
,	,	PUNCTclause
dont	dont	PRON
on	on	PRON
savait	savoir	VERB
Michele	Michele	PROPN
Pezza	Pezza	PROPN
amoureux	amoureux	ADJ
,	,	PUNCTclause
tout le monde	tout le monde	NOUN
l'	le	DET
eût	avoir	AUX
deviné	deviner	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
noce	noce	NOUN
devait	devoir	VERB
avoir lieu	avoir lieu	VERB
entre	entre	ADP
la	le	DET
moisson	moisson	NOUN
et	et	CCONJ
les	le	DET
vendanges	vendange	NOUN
,	,	PUNCTclause
et	et	CCONJ
l'	le	DET
événement	événement	NOUN
que	que	PRON
nous	nous	PRON
venons	venir	VERB
de	de	ADP
raconter	raconter	VERB
se	se	PRON
était	être	AUX
passé	passer	VERB
vers	vers	ADP
la	le	DET
fin	fin	NOUN
du	du	ADP_DET
mois	mois	NOUN
de	de	ADP
mai	mai	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Juin	juin	NOUN
,	,	PUNCTclause
juillet	juillet	NOUN
et	et	CCONJ
août	août	NOUN
se	se	PRON
écoulèrent	écouler	VERB
sans que	sans que	SCONJ
rien	rien	PRON
révélât	révéler	VERB
les	le	DET
intentions	intention	NOUN
tragiques	tragique	ADJ
annoncées	annoncer	VERB
par	par	ADP
Pezza	Pezza	PROPN
à	à	ADP
son	son	DET
rival	rival	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
7	7	NUM
septembre	septembre	NOUN
,	,	PUNCTclause
qui	qui	PRON
était	être	AUX
un	un	DET
dimanche	dimanche	NOUN
,	,	PUNCTclause
le	le	DET
curé	curé	NOUN
annonça	annoncer	VERB
au	au	ADP_DET
prône	prône	NOUN
,	,	PUNCTclause
